,RECHARGE_VALUE,MIN_RECHARGE_AVG,P2_MADE_CALLS_DURATION,P2_PERC_DAYS_SOCIAL_NETWORK_OTT,PERC_SOCIAL_NETWORK_SESSIONS_IN_P1,PERC_INTERNET_SESSIONS_IN_P1,PERC_RECEIVED_CALLS_DURATION_IN_P2,PERC_P4_RECEIVED_CALLS_DURATION_BY_TOTAL,P23_PERC_DAYS_MADE_CALLS_OTT,WEEKDAY_PERC_INTERNET_MB,WEEKEND_HOLYDAY_PERC_SOCIAL_NETWORK_SESSIONS,WEEKEND_HOLYDAY_P14_WHATSAPP_MB_BY_SESSION,AGE_TYPE
94,200.0,100.0,319.0,84.75,24.0,24.0,44.0,8.0,100.0,29.14,23.23,0.04,8
95,500.0,50.0,195.0,85.92,17.0,17.0,45.0,6.0,64.1,7.95,24.2,1.72,5
96,300.0,18.18,270.0,11.11,15.0,14.0,39.0,6.0,76.92,38.63,25.93,0.0,4
97,700.0,100.0,108.0,88.89,21.0,22.0,58.0,4.0,60.0,19.39,22.76,0.28,7
98,400.0,100.0,84.0,89.04,22.0,24.0,24.0,20.0,55.56,20.63,21.4,0.01,5
99,450.0,30.0,149.0,38.1,8.0,11.0,34.0,12.0,53.33,79.94,20.54,0.18,5
100,460.0,47.5,1248.0,97.7,27.0,22.0,45.0,3.0,50.57,54.5,18.65,1.1,5
101,130.0,40.0,26.0,88.89,5.0,6.0,21.0,20.0,17.24,12.41,22.83,0.1,2
102,450.0,66.67,61.0,94.03,6.0,6.0,31.0,8.0,49.33,11.27,21.62,0.05,3
103,500.0,100.0,150.0,88.89,21.0,22.0,32.0,7.0,77.11,44.62,21.96,0.3,4
104,500.0,100.0,161.0,100.0,24.0,24.0,13.0,4.0,75.86,14.12,23.11,0.89,4
105,500.0,100.0,757.0,97.5,23.0,23.0,40.0,5.0,37.8,24.22,32.69,0.3,7
106,1110.0,40.0,658.0,93.83,21.0,18.0,27.0,10.0,81.4,31.09,22.58,0.08,7
107,850.0,50.0,33.0,79.31,21.0,21.0,32.0,12.0,47.95,7.97,23.4,0.04,4
108,540.0,58.0,810.0,81.08,21.0,20.0,29.0,3.0,70.89,32.11,22.68,1.33,5
109,200.0,50.0,31.0,100.0,18.0,21.0,31.0,10.0,1.64,2.95,27.81,0.05,3
110,400.0,50.0,228.0,51.67,30.0,18.0,40.0,3.0,80.3,34.2,40.24,0.04,6
111,50.0,50.0,211.0,80.0,2.0,2.0,48.0,3.0,20.69,6.56,21.43,0.01,5
112,400.0,100.0,601.0,38.27,3.0,3.0,49.0,8.0,93.1,22.15,24.66,0.03,5
113,549.2457641105079,98.1772503736022,92.0,98.82,21.0,23.0,39.0,13.0,16.09,22.63,17.38,0.01,3
114,100.0,100.0,60.0,100.0,13.0,11.0,36.0,8.0,24.44,21.87,22.19,0.01,2
115,500.0,36.67,1286.0,36.0,20.0,19.0,51.0,2.0,73.42,82.52,20.25,0.0,4
116,400.0,100.0,112.0,18.0,24.0,23.0,44.0,7.0,65.67,100.0,14.29,0.0,10
117,233.86731357602298,58.3146224088887,0.0,100.0,28.0,28.0,0.0,0.0,0.0,34.45,16.61,0.0,5
118,600.0,42.5,358.0,85.71,4.0,5.0,38.0,5.0,74.7,21.06,27.06,0.01,4
119,100.0,50.0,3.0,82.5,8.0,8.0,25.0,30.0,20.45,22.3,22.81,0.0,3
120,300.0,100.0,47.0,100.0,31.0,25.0,43.0,13.0,43.75,42.31,20.19,0.21,10
121,440.0,28.0,4937.0,79.52,21.0,22.0,41.0,1.0,85.06,13.45,22.71,0.16,5
122,350.0,75.0,428.0,54.55,9.0,9.0,41.0,9.0,72.62,6.95,24.89,0.0,5
123,170.0,20.0,83.0,70.0,5.0,4.0,28.0,13.0,0.0,100.0,16.13,0.0,10
124,410.0,40.0,290.0,91.04,9.0,10.0,19.0,2.0,40.54,21.12,30.43,0.05,2
125,700.0,50.0,225.0,100.0,17.0,17.0,46.0,4.0,77.91,15.0,24.73,0.18,4
126,580.0,27.5,65.0,98.61,26.0,34.0,16.0,10.0,32.1,36.11,10.08,0.88,5
127,430.0,76.67,192.0,0.0,0.0,0.0,34.0,12.0,64.18,0.0,0.0,0.0,9
128,400.0,100.0,152.0,98.85,24.0,23.0,47.0,10.0,51.72,77.35,21.65,0.05,6
129,220.0,42.5,29.0,52.94,14.0,15.0,51.0,8.0,20.69,91.19,24.14,0.0,5
130,300.0,100.0,314.0,76.09,11.0,12.0,37.0,4.0,71.7,26.63,24.71,1.55,3
131,340.0,30.0,138.0,89.71,19.0,18.0,50.0,6.0,43.66,4.18,22.22,0.42,7
132,1060.0,32.22,1570.0,92.75,21.0,21.0,48.0,5.0,63.29,7.42,23.68,1.9,6
133,500.0,60.0,672.0,76.71,15.0,19.0,38.0,5.0,69.05,19.4,26.98,0.94,2
134,450.0,50.0,231.0,41.03,19.0,19.0,45.0,4.0,63.46,12.24,23.29,0.0,10
135,50.0,50.0,30.0,97.44,25.0,24.0,17.0,16.0,13.64,30.69,24.85,0.01,4
136,480.0,35.71,457.0,100.0,19.0,17.0,50.0,2.0,30.0,54.63,13.81,0.3,5
137,230.0,38.33,46.0,94.12,29.0,30.0,30.0,14.0,47.5,55.37,29.32,0.03,5
138,300.0,100.0,977.0,83.78,17.0,17.0,44.0,7.0,90.79,19.15,25.51,0.69,6
139,70.0,15.0,369.0,96.2,24.0,19.0,32.0,13.0,19.75,15.8,13.57,0.02,6
140,400.0,100.0,48.0,98.65,17.0,18.0,37.0,21.0,46.43,24.02,24.75,0.01,3
141,600.0,20.0,546.0,91.67,23.0,21.0,28.0,12.0,52.33,52.63,15.95,0.0,4
142,180.0,10.0,46.0,0.0,0.0,0.0,55.0,8.0,48.72,0.0,0.0,0.0,7
143,150.0,150.0,50.0,100.0,20.0,18.0,49.0,0.0,29.63,49.16,20.53,0.01,8
144,270.710076745915,-0.147690004351759,3.0,0.0,0.0,0.0,32.0,8.0,0.0,0.0,0.0,0.0,7
145,200.0,50.0,152.0,55.56,14.0,14.0,45.0,4.0,56.0,4.86,25.26,0.01,8
146,340.0,20.0,185.0,97.3,19.0,26.0,42.0,12.0,66.67,12.03,24.3,0.13,7
147,190.0,20.0,275.0,53.85,2.0,2.0,32.0,5.0,50.0,31.53,21.7,0.16,2
148,750.0,75.0,703.0,100.0,25.0,25.0,55.0,1.0,73.56,12.69,21.25,0.0,3
149,70.0,20.0,0.0,94.74,15.0,11.0,10.0,10.0,9.09,84.78,16.67,0.0,7
150,450.0,30.0,150.0,90.14,16.0,17.0,37.0,5.0,58.44,26.72,26.47,1.14,2
151,630.0,15.45,996.0,97.22,5.0,6.0,64.0,1.0,41.33,62.38,22.38,0.02,5
152,500.0,21.43,36.0,100.0,18.0,19.0,41.0,17.0,15.19,48.54,22.79,0.45,2
153,240.0,30.0,73.0,98.78,19.0,21.0,39.0,7.0,34.94,16.31,17.59,0.57,4
154,260.0,40.0,73.0,96.55,37.0,32.0,25.0,12.0,10.53,19.04,32.56,0.0,3
155,50.0,50.0,80.0,100.0,26.0,23.0,38.0,9.0,0.0,13.36,19.95,0.0,2
156,140.0,20.0,59.0,100.0,5.0,6.0,36.0,18.0,13.16,8.14,22.68,0.27,2
157,110.0,10.0,73.0,100.0,20.0,20.0,58.0,8.0,3.75,32.21,15.33,0.1,5
158,200.0,100.0,468.0,84.85,7.0,7.0,28.0,8.0,94.29,32.72,30.71,0.08,2
159,350.0,25.0,47.0,9.76,0.0,0.0,57.0,13.0,48.15,96.12,15.0,0.0,4
160,470.0,60.0,67.0,97.67,26.0,24.0,41.0,7.0,54.02,58.36,22.7,0.57,4
161,200.0,100.0,173.0,89.19,20.0,21.0,31.0,4.0,48.72,22.22,23.16,0.42,3
162,290.0,20.0,542.0,96.83,18.0,18.0,23.0,3.0,69.23,52.76,24.17,0.4,7
163,30.0,30.0,18.0,0.0,50.0,40.0,38.0,20.0,92.86,91.56,0.0,0.0,10
164,420.0,73.33,277.0,87.95,22.0,22.0,55.0,3.0,81.18,21.69,23.21,0.03,8
165,130.0,26.0,45.0,92.31,20.0,20.0,24.0,11.0,25.0,9.22,13.95,0.07,2
166,400.0,100.0,466.0,100.0,22.0,21.0,44.0,3.0,45.12,54.61,22.44,0.45,4
167,80.0,20.0,12.0,65.0,5.0,4.0,24.0,18.0,41.67,84.62,12.5,0.01,4
168,370.0,56.67,296.0,94.59,11.0,11.0,40.0,6.0,67.95,5.28,18.97,0.11,7
169,620.0,73.33,427.0,29.17,20.0,18.0,61.0,4.0,45.31,0.77,28.57,0.0,7
170,380.0,20.0,65.0,96.83,21.0,21.0,63.0,3.0,34.85,23.28,21.6,0.51,10
171,300.0,100.0,409.0,90.16,19.0,26.0,38.0,2.0,60.61,21.64,19.73,0.37,3
172,420.0,40.0,341.0,0.0,0.0,0.0,44.0,4.0,81.13,0.0,0.0,0.0,4
173,620.0,73.33,226.0,79.41,18.0,17.0,52.0,6.0,53.75,33.29,26.04,0.01,6
174,200.0,100.0,15.0,23.53,0.0,0.0,82.0,1.0,33.33,0.0,27.03,-0.38584764656050197,8
175,350.0,75.0,42.0,98.57,9.0,9.0,31.0,6.0,25.35,34.46,25.88,0.33,10
176,-357.35778151659696,61.006054584937296,110.0,94.74,27.0,27.0,37.0,4.0,9.68,98.82,14.53,0.0,9
177,300.0,100.0,269.0,100.0,19.0,20.0,46.0,3.0,47.13,42.64,21.78,0.74,7
178,450.0,23.75,50.0,98.61,5.0,6.0,43.0,8.0,13.58,68.42,20.92,0.02,4
179,690.0,10.0,7.0,0.0,0.0,0.0,46.0,16.0,78.75,0.0,0.0,0.0,7
180,1400.0,83.33,18.0,100.0,16.0,16.0,31.0,9.0,10.71,31.09,23.96,0.91,2
181,400.0,100.0,97.0,100.0,13.0,18.0,60.0,2.0,42.35,65.25,27.66,0.09,4
182,300.0,50.0,135.0,91.49,22.0,22.0,44.0,6.0,82.0,77.26,13.16,0.07,6
183,370.0,20.0,288.0,96.2,23.0,23.0,40.0,11.0,58.75,18.64,21.23,0.02,4
184,450.0,66.67,64.0,87.27,27.0,25.0,30.0,11.0,63.93,20.92,27.44,0.88,5
185,30.0,30.0,2575.0,86.21,24.0,24.0,48.0,2.0,6.45,32.19,16.35,0.0,5
186,500.0,100.0,137.0,93.75,4.0,4.0,33.0,8.0,80.23,35.85,23.62,0.03,8
187,150.0,50.0,28.0,100.0,13.0,15.0,57.0,5.0,1.89,85.09,16.81,0.0,4
188,430.0,65.0,243.0,5.56,0.0,0.0,31.0,7.0,69.81,0.0,0.0,0.0,8
189,400.0,100.0,209.0,97.01,18.0,19.0,46.0,8.0,89.71,33.05,24.9,0.46,5
190,50.0,50.0,21.0,100.0,21.0,21.0,33.0,18.0,66.67,9.47,24.37,0.03,3
191,400.0,37.5,181.0,96.08,19.0,22.0,40.0,8.0,92.16,47.16,16.1,0.06,7
192,200.0,100.0,44.0,0.0,0.0,0.0,37.0,9.0,29.27,0.0,0.0,0.0,7
193,190.0,20.0,260.0,100.0,24.0,24.0,44.0,5.0,13.64,21.62,15.8,0.15,5
194,400.0,50.0,60.0,88.89,6.0,6.0,45.0,12.0,50.0,12.04,27.48,0.01,5
195,50.0,50.0,42.0,100.0,24.0,24.0,38.0,1.0,1.23,68.58,16.98,0.07,2
196,170.0,20.0,100.0,95.65,23.0,13.0,24.0,7.0,38.46,27.12,21.74,0.08,2
197,30.0,30.0,62.0,100.0,25.0,24.0,62.0,2.0,3.17,99.22,16.25,0.0,6
198,220.0,35.0,114.0,97.65,9.0,10.0,50.0,8.0,65.12,8.71,26.16,0.01,3
199,160.0,10.0,225.0,23.33,7.0,7.0,36.0,3.0,56.1,26.93,18.18,0.0,5
200,450.0,22.0,19.0,67.74,11.0,12.0,38.0,19.0,20.93,38.44,22.17,0.09,3
201,1880.0,50.0,513.0,100.0,22.0,22.0,46.0,7.0,56.32,8.06,24.27,0.67,3
202,130.0,40.0,198.0,100.0,23.0,22.0,53.0,5.0,32.5,11.25,21.04,0.1,5
203,100.0,50.0,233.0,70.37,17.0,17.0,43.0,2.0,59.38,13.55,24.7,6.63,8
204,-10.1606546532114,-25.7997589640384,12.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,15.0088028656486,-0.5973351169247081,7
205,50.0,15.0,88.0,50.0,0.0,0.0,45.0,13.0,28.57,98.07,17.65,0.01,4
206,530.0,22.5,583.0,2.63,0.0,0.0,45.0,6.0,96.34,0.0,13.33,0.0,9
207,250.0,50.0,84.0,12.5,0.0,0.0,40.0,8.0,53.85,0.0,16.67,0.0,9
208,600.0,200.0,370.0,98.78,13.0,13.0,50.0,6.0,77.38,31.38,22.55,1.8,4
209,20.0,20.0,324.97684849168303,89.27336078895371,0.0,0.0,0.0,0.0,0.0,98.28,22.22,-0.448733141451791,3
210,140.0,30.0,12.0,100.0,2.0,2.0,44.0,12.0,1.18,10.0,14.11,0.0,10
211,160.0,40.0,339.0,95.0,22.0,20.0,37.0,3.0,9.09,39.02,15.11,0.09,5
212,550.0,50.0,48.0,100.0,6.0,6.0,40.0,8.0,44.83,46.38,28.26,0.08,9
213,700.0,50.0,67.0,97.62,24.0,23.0,18.0,10.0,26.44,32.89,27.45,0.0,5
214,336.061772553939,-5.05306023807546,43.0,69.23,18.0,18.0,74.0,3.0,5.88,81.86,23.4,0.02,4
215,190.0,20.0,14.0,100.0,25.0,24.0,43.0,10.0,11.11,10.23,14.31,0.19,4
216,1090.0,26.36,36.0,98.82,11.0,11.0,41.0,15.0,31.03,12.17,26.67,0.63,3
217,120.0,20.0,178.0,98.8,25.0,26.0,38.0,17.0,37.35,100.0,15.91,0.0,7
218,690.0,42.5,11.0,100.0,25.0,24.0,29.0,21.0,8.05,3.21,22.47,0.1,7
219,430.0,56.0,10.0,100.0,22.0,23.0,34.0,18.0,54.0,6.15,23.52,0.03,4
220,400.0,100.0,112.0,93.85,14.0,14.0,30.0,9.0,59.76,41.67,23.08,0.18,4
221,200.0,100.0,81.0,97.5,12.0,12.0,49.0,4.0,32.1,43.64,23.13,0.16,6
222,520.0,42.5,596.0,81.33,20.0,20.0,43.0,4.0,74.03,14.26,20.17,0.04,5
223,500.0,50.0,44.0,98.11,24.0,23.0,45.0,4.0,29.82,13.23,22.61,0.18,4
224,1250.0,32.35,1082.0,100.0,7.0,10.0,37.0,4.0,87.36,16.31,34.0,0.54,4
225,20.0,20.0,1.0,100.0,14.0,13.0,20.0,6.0,0.0,17.26,16.43,0.0,6
226,480.0,36.67,205.0,100.0,19.0,22.0,68.0,4.0,50.0,16.36,22.14,0.29,3
227,150.0,50.0,80.0,72.73,24.0,23.0,33.0,13.0,62.32,7.63,22.09,0.47,7
228,500.0,100.0,1.0,0.0,0.0,0.0,41.0,10.0,66.67,0.0,0.0,0.0,4
229,1010.0,50.0,119.0,100.0,21.0,22.0,53.0,5.0,42.53,10.3,23.61,0.13,7
230,490.0,21.43,295.0,98.84,13.0,14.0,33.0,10.0,58.62,11.06,24.66,1.14,7
231,200.0,22.0,108.0,98.04,11.0,12.0,40.0,13.0,15.94,54.78,20.57,0.03,4
232,40.0,20.0,592.0,0.0,0.0,0.0,25.0,3.0,5.26,0.0,0.0,0.0,7
233,250.0,20.0,83.0,98.33,20.0,21.0,49.0,5.0,7.69,79.55,12.8,0.03,6
234,560.0,22.5,123.0,100.0,17.0,18.0,50.0,12.0,39.08,13.81,18.1,0.11,7
235,500.0,100.0,2574.0,89.02,12.0,15.0,44.0,2.0,80.23,43.77,20.92,0.63,7
236,550.0,50.0,265.0,90.0,3.0,3.0,46.0,2.0,79.07,23.11,25.38,0.01,8
237,160.0,10.0,30.0,84.38,15.0,15.0,24.0,10.0,27.45,74.8,22.76,0.02,10
238,150.0,50.0,117.0,90.74,20.0,20.0,45.0,4.0,91.07,7.79,23.76,1.16,9
239,130.0,20.0,41.0,0.0,100.0,100.0,47.0,12.0,50.0,0.0,0.0,0.0,7
240,380.0,35.0,148.0,89.09,13.0,12.0,45.0,8.0,12.7,16.57,23.35,0.27,7
241,410.0,55.0,473.0,92.86,19.0,18.0,51.0,5.0,95.24,21.65,24.72,0.21,5
242,450.0,75.0,704.0,100.0,18.0,20.0,50.0,4.0,82.76,20.9,23.56,0.38,6
243,300.0,100.0,588.0,98.85,18.0,18.0,42.0,8.0,67.82,55.75,25.95,0.15,6
244,20.0,20.0,108.0,0.0,0.0,0.0,53.0,5.0,42.86,0.0,0.0,0.0,5
245,844.01113601745,104.972310798298,9.0,100.0,26.0,27.0,100.0,0.0,66.67,0.0,24.523093838270697,0.00161049863936136,4
246,160.0,30.0,21.0,97.62,11.0,11.0,52.0,10.0,13.95,0.66,23.55,0.84,2
247,180.0,10.0,52.0,90.16,13.0,15.0,37.0,8.0,18.57,19.54,21.09,0.55,5
248,250.0,50.0,53.0,100.0,23.0,24.0,54.0,7.0,5.81,12.64,11.77,0.32,6
249,200.0,100.0,131.0,91.46,20.0,17.0,46.0,10.0,79.07,47.99,13.5,1.6,9
250,810.0,35.0,29.0,100.0,21.0,22.0,30.0,9.0,16.09,6.5,24.09,0.16,5
251,400.0,100.0,22.0,94.44,18.0,17.0,22.0,16.0,40.51,8.59,25.25,1.09,2
252,330.0,22.0,34.0,82.35,24.0,24.0,37.0,11.0,11.54,26.82,19.77,0.74,7
